Emotions,Path
sad,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 15/03-01-02-01-02-01-15.wav
sad,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 15/03-01-02-01-01-01-15.wav
happy,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 15/03-01-01-01-01-01-15.wav
surprise,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 15/01-01-04-02-03-02-15.wav
surprise,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 15/01-01-04-02-03-01-15.wav
happy,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 15/03-01-01-01-03-03-15.wav
happy,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 15/03-01-01-01-02-02-15.wav
sad,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 15/03-01-02-01-01-02-15.wav
happy,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 15/03-01-01-01-03-01-15.wav
happy,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 15/03-01-01-01-02-01-15.wav
happy,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 15/03-01-01-01-03-02-15.wav
happy,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 15/03-01-01-01-01-02-15.wav
surprise,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 15/01-01-04-02-03-03-15.wav
sad,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 15/03-01-02-01-01-03-15.wav
happy,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 15/03-01-01-01-02-03-15.wav
happy,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 15/03-01-01-01-01-03-15.wav
angry,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 15/03-01-03-02-03-02-15.wav
surprise,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 15/03-01-04-02-02-01-15.wav
neutral,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 15/03-01-05-01-02-03-15.wav
surprise,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 15/03-01-04-02-02-03-15.wav
angry,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 15/03-01-03-02-01-02-15.wav
surprise,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 15/03-01-04-02-02-02-15.wav
sad,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 15/03-01-02-01-03-03-15.wav
surprise,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 15/03-01-04-02-01-01-15.wav
surprise,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 15/03-01-04-02-01-03-15.wav
surprise,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 15/03-01-04-02-01-02-15.wav
angry,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 15/03-01-03-02-03-01-15.wav
angry,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 15/03-01-03-02-03-03-15.wav
angry,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 15/03-01-03-02-02-01-15.wav
neutral,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 15/03-01-05-01-01-02-15.wav
neutral,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 15/03-01-05-01-01-01-15.wav
neutral,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 15/03-01-05-01-02-02-15.wav
neutral,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 15/03-01-05-01-03-02-15.wav
sad,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 15/03-01-02-01-02-02-15.wav
sad,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 15/03-01-02-01-02-03-15.wav
angry,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 15/03-01-03-02-01-01-15.wav
angry,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 15/03-01-03-02-02-02-15.wav
sad,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 15/03-01-02-01-03-02-15.wav
neutral,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 15/03-01-05-01-01-03-15.wav
angry,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 15/03-01-03-02-01-03-15.wav
neutral,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 15/03-01-05-01-03-01-15.wav
angry,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 15/03-01-03-02-02-03-15.wav
sad,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 15/03-01-02-01-03-01-15.wav
neutral,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 15/03-01-05-01-02-01-15.wav
neutral,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 15/03-01-05-01-03-03-15.wav
sad,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 31/03-01-02-01-03-03-31.wav
happy,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 31/03-01-01-01-01-01-31.wav
sad,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 31/03-01-02-01-02-03-31.wav
happy,/content/drive/MyDrive/t9h6p943xy-5/BanglaSER/Actor 31/03-01-01-01-03-01-31.wav
